language,hpc_cluster,grid_size,n_workers,core_secs
r,rackham,16384,10,265.59752702713
r,rackham,16384,11,267.365769147873
r,rackham,16384,12,262.000382423401
r,rackham,16384,1,255.182075977325
r,rackham,16384,13,295.231193780899
r,rackham,16384,14,271.736469745636
r,rackham,16384,15,273.922744989395
r,rackham,16384,16,273.834106445312
r,rackham,16384,17,299.371822118759
r,rackham,16384,18,293.827427387238
r,rackham,16384,19,294.308908462524
r,rackham,16384,20,296.440815925598
r,rackham,16384,2,271.401943683624
r,rackham,16384,3,255.071741580963
r,rackham,16384,4,263.783731460571
r,rackham,16384,5,260.844513177872
r,rackham,16384,6,280.728022098541
r,rackham,16384,7,291.819514513016
r,rackham,16384,8,286.668287277222
r,rackham,16384,9,288.377019882202
r,rackham,16384,10,270.256354808807
r,rackham,16384,11,287.105191707611
r,rackham,16384,12,277.6444272995
r,rackham,16384,13,298.429324626923
r,rackham,16384,14,284.884744644165
r,rackham,16384,15,292.03982591629
r,rackham,16384,16,295.269985198975
r,rackham,16384,17,292.005053043365
r,rackham,16384,18,294.19144821167
r,rackham,16384,19,294.069183349609
r,rackham,16384,20,296.578302383423
r,rackham,16384,3,264.20282793045
r,rackham,16384,4,268.221796035767
r,rackham,16384,5,281.238496303558
r,rackham,16384,6,288.007245540619
r,rackham,16384,7,258.730340957642
r,rackham,16384,8,267.733646392822
r,rackham,16384,9,288.911234378815
r,rackham,16384,10,292.392253875732
r,rackham,16384,11,272.81248831749
r,rackham,16384,12,274.216578483582
r,rackham,16384,1,277.468496322632
r,rackham,16384,13,290.039347171783
r,rackham,16384,14,293.12840795517
r,rackham,16384,15,291.280471086502
r,rackham,16384,16,292.405300140381
r,rackham,16384,17,292.850062847137
r,rackham,16384,18,295.568541526794
r,rackham,16384,19,297.333703041077
r,rackham,16384,20,300.550131797791
r,rackham,16384,2,238.175266742706
r,rackham,16384,3,287.344747781754
r,rackham,16384,4,283.901578903198
r,rackham,16384,5,268.801974058151
r,rackham,16384,6,313.857456207275
r,rackham,16384,7,260.527151107788
r,rackham,16384,8,284.280078887939
r,rackham,16384,9,260.499092102051
r,rackham,16384,10,277.482116222382
r,rackham,16384,11,271.893530368805
r,rackham,16384,12,283.959300041199
r,rackham,16384,1,262.532890319824
r,rackham,16384,13,293.184985876083
r,rackham,16384,14,297.959306240082
r,rackham,16384,15,293.496000766754
r,rackham,16384,16,293.142890930176
r,rackham,16384,17,293.681563615799
r,rackham,16384,18,295.989343643188
r,rackham,16384,19,297.966292858124
r,rackham,16384,20,295.417876243591
r,rackham,16384,2,268.86212682724
r,rackham,16384,3,275.83434677124
r,rackham,16384,4,264.196167945862
r,rackham,16384,5,285.088577270508
r,rackham,16384,6,247.932025909424
r,rackham,16384,7,282.45222568512
r,rackham,16384,8,288.343112945557
r,rackham,16384,9,261.643509149551
julia,rackham,16384,1,4.659
julia,rackham,16384,2,11.474
julia,rackham,16384,3,13.995
julia,rackham,16384,4,15.068
julia,rackham,16384,5,18.34
julia,rackham,16384,6,20.694
julia,rackham,16384,7,23.177
julia,rackham,16384,8,23.072
julia,rackham,16384,9,26.235
julia,rackham,16384,10,27.73
julia,rackham,16384,11,28.182
julia,rackham,16384,12,31.032
julia,rackham,16384,13,32.253
julia,rackham,16384,14,34.076
julia,rackham,16384,15,34.77
julia,rackham,16384,16,41.008
julia,rackham,16384,17,42.857
julia,rackham,16384,18,45.09
julia,rackham,16384,19,43.13
julia,rackham,16384,20,49.98
julia,rackham,16384,1,4.585
julia,rackham,16384,2,11.34
julia,rackham,16384,3,12.843
julia,rackham,16384,4,16.716
julia,rackham,16384,5,16.855
julia,rackham,16384,6,19.434
julia,rackham,16384,7,21.455
julia,rackham,16384,8,21.208
