language,hpc_cluster,grid_size,n_workers,core_secs
r,rackham,16384,10,265.59752702713
r,rackham,16384,11,267.365769147873
r,rackham,16384,12,262.000382423401
r,rackham,16384,1,255.182075977325
r,rackham,16384,13,295.231193780899
r,rackham,16384,14,271.736469745636
r,rackham,16384,15,273.922744989395
r,rackham,16384,16,273.834106445312
r,rackham,16384,17,299.371822118759
r,rackham,16384,18,293.827427387238
r,rackham,16384,19,294.308908462524
r,rackham,16384,20,296.440815925598
r,rackham,16384,2,271.401943683624
r,rackham,16384,3,255.071741580963
r,rackham,16384,4,263.783731460571
r,rackham,16384,5,260.844513177872
r,rackham,16384,6,280.728022098541
r,rackham,16384,7,291.819514513016
r,rackham,16384,8,286.668287277222
r,rackham,16384,9,288.377019882202
r,rackham,16384,10,270.256354808807
r,rackham,16384,11,287.105191707611
r,rackham,16384,12,277.6444272995
r,rackham,16384,13,298.429324626923
r,rackham,16384,14,284.884744644165
r,rackham,16384,15,292.03982591629
r,rackham,16384,16,295.269985198975
r,rackham,16384,17,292.005053043365
r,rackham,16384,18,294.19144821167
r,rackham,16384,19,294.069183349609
r,rackham,16384,20,296.578302383423
r,rackham,16384,3,264.20282793045
r,rackham,16384,4,268.221796035767
r,rackham,16384,5,281.238496303558
r,rackham,16384,6,288.007245540619
r,rackham,16384,7,258.730340957642
r,rackham,16384,8,267.733646392822
r,rackham,16384,9,288.911234378815
r,rackham,16384,10,292.392253875732
r,rackham,16384,11,272.81248831749
r,rackham,16384,12,274.216578483582
r,rackham,16384,1,277.468496322632
r,rackham,16384,13,290.039347171783
r,rackham,16384,14,293.12840795517
r,rackham,16384,15,291.280471086502
r,rackham,16384,16,292.405300140381
r,rackham,16384,17,292.850062847137
r,rackham,16384,18,295.568541526794
r,rackham,16384,19,297.333703041077
r,rackham,16384,20,300.550131797791
r,rackham,16384,2,238.175266742706
r,rackham,16384,3,287.344747781754
r,rackham,16384,4,283.901578903198
r,rackham,16384,5,268.801974058151
r,rackham,16384,6,313.857456207275
r,rackham,16384,7,260.527151107788
r,rackham,16384,8,284.280078887939
r,rackham,16384,9,260.499092102051
r,rackham,16384,10,277.482116222382
r,rackham,16384,11,271.893530368805
r,rackham,16384,12,283.959300041199
r,rackham,16384,1,262.532890319824
r,rackham,16384,13,293.184985876083
r,rackham,16384,14,297.959306240082
r,rackham,16384,15,293.496000766754
r,rackham,16384,16,293.142890930176
r,rackham,16384,17,293.681563615799
r,rackham,16384,18,295.989343643188
r,rackham,16384,19,297.966292858124
r,rackham,16384,20,295.417876243591
r,rackham,16384,2,268.86212682724
r,rackham,16384,3,275.83434677124
r,rackham,16384,4,264.196167945862
r,rackham,16384,5,285.088577270508
r,rackham,16384,6,247.932025909424
r,rackham,16384,7,282.45222568512
r,rackham,16384,8,288.343112945557
r,rackham,16384,9,261.643509149551
julia,rackham,16384,1,0.000004659
julia,rackham,16384,2,0.000011474
julia,rackham,16384,3,0.000013995
julia,rackham,16384,4,0.000015068
julia,rackham,16384,5,0.00001834
julia,rackham,16384,6,0.000020694
julia,rackham,16384,7,0.000023177
julia,rackham,16384,8,0.000023072
julia,rackham,16384,9,0.000026235
julia,rackham,16384,10,0.00002773
julia,rackham,16384,11,0.000028182
julia,rackham,16384,12,0.000031032
julia,rackham,16384,13,0.000032253
julia,rackham,16384,14,0.000034076
julia,rackham,16384,15,0.00003477
julia,rackham,16384,16,0.000041008
julia,rackham,16384,17,0.000042857
julia,rackham,16384,18,0.00004509
julia,rackham,16384,19,0.00004313
julia,rackham,16384,20,0.00004998
julia,r1180,16384,1,4.585e-6
julia,r1180,16384,2,1.134e-5
julia,r1188,16384,3,1.2843e-5
julia,r1189,16384,4,1.6716e-5
julia,r1199,16384,5,1.6855e-5
julia,r1199,16384,6,1.9433999999999997e-5
julia,r1200,16384,7,2.1455e-5
julia,r1202,16384,8,2.1208e-5
julia,r1203,16384,9,2.61e-5
julia,r1204,16384,10,2.61e-5
julia,r1205,16384,11,2.8589e-5
julia,r1206,16384,12,3.1776e-5
julia,r1208,16384,13,3.2630000000000004e-5
julia,r1209,16384,14,3.661e-5
julia,r1210,16384,15,4.011e-5
julia,r1212,16384,16,4.1456e-5
julia,rackham,16384,17,4.2789000000000007e-5
julia,rackham,16384,18,4.9374e-5
julia,rackham,16384,19,4.6056e-5
julia,rackham,16384,20,4.962e-5

